,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
7674,2024-11-15 18:00:00,48.03854166666667,21.710472222222222,-12.763,3.459,0.00241672014409,0.0255781,175.7830 /T,4.2066,37.299051,71.106504,1.3504696,n.a.,n.a.,27626400.0,11,2024,15,2.3514357591347483,-8.152110148562739e-05
8375,2024-12-14 23:00:00,75.94870833333333,27.666638888888887,-12.647,3.527,0.0024667958716,0.0352276,172.6325 /T,7.349,35.837846,83.286109,1.8938382,n.a.,n.a.,30150000.0,12,2024,14,1.8854073920582652,-9.47172562300396e-05
1318,2024-02-24 22:00:00,162.44616666666667,10.73611111111111,-12.482,3.487,0.00271490675353,0.0052206,174.7437 /L,5.2421,29.634628,116.53281,0.3132807,n.a.,n.a.,4744800.0,2,2024,24,0.34850150569697447,4.337437220222097e-05
4108,2024-06-20 04:00:00,243.13495833333334,-24.741583333333335,-12.049,3.975,0.002594310566,-0.0516515,156.4971 /T,23.4445,32.376095,103.22724,-2.907154,n.a.,n.a.,14788800.0,6,2024,20,-1.1367110158829625,-3.970843385637992e-05
6400,2024-09-23 16:00:00,75.14233333333334,27.754277777777776,-10.647,4.970,0.00251906014526,0.0678723,103.8783 /L,75.9821,34.067167,82.510825,3.7448907,n.a.,n.a.,23040000.0,9,2024,23,1.8995515260138571,-4.0737471494622316e-05
5550,2024-08-19 06:00:00,322.907875,-17.31577777777778,-12.6,3.606,0.00242954464596,-0.0378491,171.8720 /T,8.1084,36.894816,67.889563,-1.995063,n.a.,n.a.,19980000.0,8,2024,19,-2.4938343405586627,-4.658706024297755e-05
8605,2024-12-24 13:00:00,198.08129166666666,-8.603777777777779,-9.332,5.515,0.0027033216259,-0.0034066,72.6273 /L,107.2222,29.577934,116.96524,-0.203664,n.a.,n.a.,30978000.0,12,2024,24,-0.3170319610727327,3.111809978269958e-05
8479,2024-12-19 07:00:00,140.30379166666665,19.226444444444443,-11.422,4.434,0.00260341545108,0.0601701,130.7024 /L,49.183,32.006317,111.4935,3.4224778,n.a.,n.a.,30524400.0,12,2024,19,0.7528097848537066,-5.3848419025452794e-05
5391,2024-08-12 15:00:00,226.44691666666668,-20.92452777777778,-10.014,5.248,0.00266094783014,-0.0473289,89.8535 /T,89.996,30.513364,109.63313,-2.760861,n.a.,n.a.,19407600.0,8,2024,12,-0.8387531307798962,8.06716731790091e-06
1411,2024-02-28 19:00:00,203.38991666666666,-9.265972222222222,-11.419,4.390,0.00269096422789,-0.0286944,133.7353 /L,46.1526,29.983605,116.48808,-1.681319,n.a.,n.a.,5079600.0,2,2024,28,-0.41037041162074006,2.0936362711218744e-05
