,Datetime,RA,DEC,Lon,Lat,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start
1752,2024-03-14 00:00:00,40.562958333333334,18.373166666666666,43.80799516787831,2.5055648680995013,-8.327,5.998,0.00246699129028,0.0661888,50.2887 /T,129.6019,35.616738,67.860273,3.562393,n.a.,n.a.,6307200.0
3359,2024-05-19 23:00:00,196.30325,-6.749444444444444,197.60460644225907,0.17536553835255156,-11.51,4.339,0.00268803094962,-0.0256281,138.7040 /T,41.1956,30.085283,117.5625,-1.497516,n.a.,n.a.,12092400.0
2292,2024-04-05 12:00:00,333.60108333333335,-13.067805555555557,330.80910228446254,-2.015529747154507,-8.068,6.102,0.00242704766925,-0.0410987,45.8244 /L,134.0756,36.833886,65.287504,-2.182054,n.a.,n.a.,8251200.0
2672,2024-04-21 08:00:00,182.36808333333335,0.29527777777777775,182.0524476697336,1.2125745001876416,-11.828,4.078,0.00270687777337,-0.0126451,150.6677 /T,29.2567,29.728716,118.55157,-0.739824,n.a.,n.a.,9619200.0
153,2024-01-07 09:00:00,229.9025,-20.855583333333335,232.94815533358488,-2.423751057947973,-8.43,5.913,0.00257883836641,-0.0667813,53.2240 /L,126.6554,32.587914,108.99402,-3.764636,n.a.,n.a.,550800.0
1509,2024-03-03 21:00:00,254.53608333333332,-26.749472222222224,256.1814223196095,-4.0483184150909794,-10.032,5.251,0.00257451417785,-0.0670498,87.2020 /L,92.6494,32.587241,98.529588,-3.783037,n.a.,n.a.,5432400.0
1397,2024-02-28 05:00:00,197.09595833333333,-6.441055555555556,198.2151317308808,0.7604662050997048,-11.585,4.264,0.00269962887931,-0.0227855,140.1045 /L,39.7957,29.829356,117.49876,-1.336589,n.a.,n.a.,5029200.0
145,2024-01-07 01:00:00,225.565,-18.324638888888888,228.33205390963272,-1.0788185440165952,-8.645,5.831,0.00259157992806,-0.0655063,57.1820 /L,122.6908,32.247442,110.51947,-3.713267,n.a.,n.a.,522000.0
1589,2024-03-07 05:00:00,305.816625,-23.48811111111111,302.53966920397215,-4.005042868031948,-7.998,6.107,0.00244362786626,-0.0590279,44.6924 /L,135.2081,36.323498,74.86901,-3.153114,n.a.,n.a.,5720400.0
2985,2024-05-04 09:00:00,353.96595833333333,-3.2050833333333335,353.1866036034343,-0.5471189787395125,-8.396,6.004,0.00243791698027,-0.0224492,51.5174 /L,128.3739,36.509278,61.835754,-1.198889,n.a.,n.a.,10746000.0
8677,2024-12-27 13:00:00,232.8215,-22.724305555555556,236.04203099054962,-3.559613517901332,-7.507,6.176,0.00266418701682,-0.0381008,39.9164 /L,139.9836,30.631572,106.7213,-2.216305,n.a.,n.a.,31237200.0
147,2024-01-07 03:00:00,226.637375,-19.948833333333333,229.75453162266822,-2.3603009496991225,-8.593,5.851,0.00258841839151,-0.0658766,56.1965 /L,123.6779,32.331398,110.15209,-3.729137,n.a.,n.a.,529200.0
6725,2024-10-07 05:00:00,239.38154166666666,-23.054805555555554,242.01565301784194,-2.5399668293950857,-8.031,6.046,0.0026728693409,-0.0367795,48.4752 /T,131.41,30.383211,104.53692,-2.149512,n.a.,n.a.,24210000.0
5744,2024-08-27 08:00:00,74.22854166666667,27.548916666666667,76.00524143739614,4.872901744716252,-9.649,5.463,0.00254791453394,0.0546517,78.2406 /L,101.6179,33.32404,82.072155,3.0469749,n.a.,n.a.,20678400.0
1654,2024-03-09 22:00:00,345.37579166666666,-8.703027777777779,343.1718989545243,-2.267041309557835,-4.834,5.385,0.00238663122217,-0.0086727,7.1187 /L,172.864,38.213075,62.887368,-0.456421,n.a.,n.a.,5954400.0
6718,2024-10-06 22:00:00,235.63470833333332,-23.997083333333332,238.85628521823628,-4.195453609674133,-7.819,6.111,0.00267883437353,-0.0340408,45.2240 /T,134.667,30.266453,106.0967,-1.99332,n.a.,n.a.,24184800.0
4961,2024-07-25 17:00:00,1.1225833333333333,0.24005555555555555,1.120642120387369,-0.22628829405775824,-11.239,4.667,0.00244728184327,0.0182905,121.9498 /L,57.9333,36.213735,61.531957,0.9811206,n.a.,n.a.,17859600.0
